SLV,El,Salvador,Americas,Central,America,6167000,737000,12,2,344587,392413,,,
ENG,England,and,Wales,Europe,Northern,Europe,58877000,2731000,4.6,1,1870735,860265,,
GNQ,Equatorial,Guinea,Africa,Middle,Africa,894000,112000,12.5,2,N/A,N/A,,,
ERI,Eritrea,Africa,Eastern,Africa,5482000,23000,0.4,2,N/A,N/A,,,,
EST,Estonia,Europe,Northern,Europe,1306000,65000,5,1,47000,18000,,,,
ETH,Ethiopia,Africa,Eastern,Africa,104345000,377000,0.4,2,N/A,N/A,,,,
FLK,Falkland,Islands,(Malvinas),Americas,South,America,3000,2000,62.1,2,1705,295,,
FRO,Faroe,Islands,Europe,Northern,Europe,49000,5000,9.9,3,N/A,N/A,,,
FJI,Fiji,Oceania,Melanesia,903000,5000,0.5,2,1538,3462,,,,,
FIN,Finland,Europe,Northern,Europe,5541000,1793000,32.4,1,1542396,250604,,,,
FRA,France,Europe,Western,Europe,64939000,12732000,19.6,1,4501235,8230765,,,,
GUF,French,Guiana,Americas,South,America,283000,55000,19.6,3,N/A,N/A,,,
PYF,French,Polynesia,Oceania,Polynesia,289000,7000,2.5,2,N/A,N/A,,,,
GAB,Gabon,Africa,Middle,Africa,1801000,61000,3.4,2,N/A,N/A,,,,
GMB,Gambia,Africa,Western,Africa,2120000,137000,6.5,2,N/A,N/A,,,,
GEO,Georgia,Asia,Western,Asia,3973000,402000,10.1,2,159000,243000,,,,
DEU,Germany,Europe,Western,Europe,80636000,15822000,19.6,1,5830000,9992000,,,,
GHA,Ghana,Africa,Western,Africa,28657000,2280000,8,2,1236128,1043872,,,,
GIB,Gibraltar,Europe,Southern,Europe,32000,1000,4.1,1,N/A,N/A,,,,
GRC,Greece,Europe,Southern,Europe,10893000,1920000,17.6,1,1010000,910000,,,,
GRL,Greenland,Americas,Northern,America,56000,13000,22.3,3,N/A,N/A,,,,
GRD,Grenada,Americas,Caribbean,108000,5000,4.6,3,N/A,N/A,,,,,
GLP,Guadeloupe,Americas,Caribbean,472000,40000,8.5,2,5500,34500,,,,,
GUM,Guam,Oceania,Melanesia,174000,20000,11.5,3,N/A,N/A,,,,,
GTM,Guatemala,Americas,Central,America,17005000,2062000,12.1,2,520792,1541208,,,,
GIN,Guinea,Africa,Western,Africa,13291000,130000,1,2,N/A,N/A,,,,
GNB,Guinea-Bissau,Africa,Western,Africa,1933000,29000,1.5,2,N/A,N/A,,,,
GUY,Guyana,Americas,South,America,774000,122000,15.8,2,4000,118000,,,,
HTI,Haiti,Americas,Caribbean,10983000,291000,2.6,2,20379,270621,,,,,
VAT,Holy,See,Europe,Southern,Europe,1000,-,0,2,N/A,N/A,,,
HND,Honduras,Americas,Central,America,8305000,1171000,14.1,2,475000,696000,,,,
HKG,Hong,Kong,"SAR,",China,Asia,Eastern,Asia,7402000,265000,3.6,3,N/A,N/A,
HUN,Hungary,Europe,Eastern,Europe,9788000,1023000,10.5,1,211300,811700,,,,
ISL,Iceland,Europe,Northern,Europe,334000,106000,31.7,2,73000,33000,,,,
IND,India,Asia,Southern,Asia,1342513000,71101000,5.3,2,9700000,61401000,,,,
IDN,Indonesia,Asia,South-eastern,Asia,263510000,82000,0,2,41102,40898,,,,
IRN,"Iran,",Islamic,Republic,of,Asia,Southern,Asia,80946000,5890000,7.3,2,N/A,N/A,
IRQ,Iraq,Asia,Western,Asia,38654000,7588000,19.6,2,N/A,N/A,,,,
IRL,Ireland,Europe,Northern,Europe,4749000,342000,7.2,2,200000,142000,,,,
ISR,Israel,Asia,Western,Asia,8323000,557000,6.7,2,290000,267000,,,,
ITA,Italy,Europe,Southern,Europe,59798000,8609000,14.4,1,2000000,6609000,,,,
JAM,Jamaica,Americas,Caribbean,2813000,246000,8.8,2,45915,200085,,,,,
JPN,Japan,Asia,Eastern,Asia,126045000,377000,0.3,2,175221,201779,,,,
JOR,Jordan,Asia,Western,Asia,7877000,1473000,18.7,2,120000,1353000,,,,
KAZ,Kazakhstan,Asia,Central,Asia,18064000,504000,2.8,2,284000,220000,,,,
KEN,Kenya,Africa,Eastern,Africa,48467000,750000,1.5,2,8136,741864,,,,
KIR,Kiribati,Oceania,Melanesia,116000,900,0.8,2,N/A,N/A,,,,,
PRK,"Korea,",DPR,(North),Asia,Eastern,Asia,25405000,76000,0.3,3,N/A,N/A,,
KOR,"Korea,",Republic,of,(South),Asia,Eastern,Asia,50705000,79000,0.2,2,39530,39470,
XKS,Kosovo,Europe,Southern,Europe,1831000,436000,23.8,2,43206,392794,,,,
KWT,Kuwait,Asia,Western,Asia,4100000,685000,16.7,3,39000,646000,,,,
KGZ,Kyrgyzstan,Asia,Central,Asia,6125000,171000,2.8,3,29237,141763,,,,
LAO,Lao,People's,Democratic,Republic,Asia,South-eastern,Asia,7038000,215000,3,3,N/A,N/A,
LVA,Latvia,Europe,Northern,Europe,1945000,205000,10.5,2,70000,135000,,,,
LBN,Lebanon,Asia,Western,Asia,6039000,1927000,31.9,2,N/A,N/A,,,,
LSO,Lesotho,Africa,Southern,Africa,2185000,105000,4.8,3,N/A,N/A,,,,
LBR,Liberia,Africa,Western,Africa,4730000,97000,2.1,2,N/A,N/A,,,,
LBY,Libya,Africa,Northern,Africa,6409000,851000,13.3,2,N/A,N/A,,,,
LIE,Liechtenstein,Europe,Western,Europe,38000,11000,28.8,3,N/A,N/A,,,,
LTU,Lithuania,Europe,Northern,Europe,2831000,385000,13.6,2,127984,257016,,,,
LUX,Luxembourg,Europe,Western,Europe,584000,110000,18.9,1,86000,24000,,,,
MKD,"Macedonia,",Former,Yugoslav,Republic,of,Europe,Southern,Europe,2083000,621000,29.8,2,169687,451313
MDG,Madagascar,Africa,Eastern,Africa,25613000,168000,0.7,2,N/A,N/A,,,,
MWI,Malawi,Africa,Eastern,Africa,18299000,47000,0.3,2,12500,34500,,,,
MYS,Malaysia,Asia,South-eastern,Asia,31164000,217000,0.7,2,142038,74962,,,,
MDV,Maldives,Asia,Southern,Asia,376000,23000,6.2,2,N/A,N/A,,,,
MLI,Mali,Africa,Western,Africa,18690000,206000,1.1,2,N/A,N/A,,,,
MLT,Malta,Europe,Southern,Europe,421000,119000,28.3,2,96425,22575,,,,
MHL,Marshall,Islands,Oceania,Melanesia,53000,300,0.5,2,N/A,N/A,,,,
MTQ,Martinique,Americas,Caribbean,396000,34000,8.5,3,N/A,N/A,,,,,
MRT,Mauritania,Africa,Western,Africa,4266000,120000,2.8,2,N/A,N/A,,,,
MUS,Mauritius,Africa,Eastern,Africa,1281000,106000,8.3,2,N/A,N/A,,,,
MEX,Mexico,Americas,Central,America,130223000,16809000,12.9,2,3118592,13690408,,,,
FSM,"Micronesia,",Fed.,Sts.,Oceania,Micronesia,106000,700,0.7,2,N/A,N/A,,,
MDA,"Moldova,",Republic,of,Europe,Eastern,Europe,4055000,121000,3,2,54663,66337,,
MCO,Monaco,Europe,Western,Europe,38000,7000,19.6,3,N/A,N/A,,,,
MNG,Mongolia,Asia,Eastern,Asia,3052000,242000,7.9,3,46982,195018,,,,
MNE,Montenegro,Europe,Southern,Europe,626000,245000,39.1,3,103536,141464,,,,
MSR,Montserrat,Americas,Caribbean,5000,300,5.4,3,N/A,N/A,,,,,
MAR,Morocco,Africa,Northern,Africa,35241000,1690000,4.8,2,N/A,N/A,,,,
MOZ,Mozambique,Africa,Eastern,Africa,29538000,1337000,4.5,2,7000,1330000,,,,
MMR,Myanmar,Asia,South-eastern,Asia,54836000,877000,1.6,3,N/A,N/A,,,,
NAM,Namibia,Africa,Southern,Africa,2569000,396000,15.4,2,200010,195990,,,,
NRU,Nauru,Oceania,Melanesia,10000,-,0,2,N/A,N/A,,,,,
NPL,Nepal,Asia,Southern,Asia,29187000,444000,1.5,2,34315,409685,,,,
NLD,Netherlands,Europe,Western,Europe,17033000,442000,2.6,1,205347,236653,,,,
NCL,New,Caledonia,Oceania,Melanesia,270000,115000,42.5,2,55000,60000,,,,
NZL,New,Zealand,Oceania,Australia/New,Zealand,4605000,1212000,26.3,2,1200000,12000,,,
NIC,Nicaragua,Americas,Central,America,6218000,323000,5.2,2,142260,180740,,,,
NER,Niger,Africa,Western,Africa,21564000,117000,0.5,2,2000,115000,,,,
NGA,Nigeria,Africa,Western,Africa,191836000,6154000,3.2,2,N/A,N/A,,,,
NIR,Northern,Ireland,Europe,Northern,Ireland,1873000,206000,11,1,153000,53000,,,
MNP,Northern,Mariana,Islands,Oceania,Micronesia,56000,1000,2.6,2,N/A,N/A,,,
NOR,Norway,Europe,Northern,Europe,5331000,1537000,28.8,2,1254638,282362,,,,
OMN,Oman,Asia,Western,Asia,4741000,792000,16.7,3,N/A,N/A,,,,
PAK,Pakistan,Asia,Southern,Asia,196744000,43917000,22.3,2,6000000,37917000,,,,
PLW,Palau,Oceania,Melanesia,22000,100,0.5,2,N/A,N/A,,,,,
PSE,Palestinian,Territories,Asia,Western,Asia,4952000,56000,1.1,2,N/A,N/A,,,
PAN,Panama,Americas,Central,America,4051000,436000,10.8,2,180000,256000,,,,
PNG,Papua,New,Guinea,Oceania,Melanesia,7934000,79000,1,2,27043,51957,,,
PRY,Paraguay,Americas,South,America,6812000,1140000,16.7,2,392000,748000,,,,
PER,Peru,Americas,South,America,32166000,633000,2,2,365845,267155,,,,
PHL,Philippines,Asia,South-eastern,Asia,103797000,3776000,3.6,2,1739000,2037000,,,,
POL,Poland,Europe,Eastern,Europe,38564000,968000,2.5,1,380000,588000,,,,
PRT,Portugal,Europe,Southern,Europe,10265000,2186000,21.3,1,1400000,786000,,,,
PRI,Puerto,Rico,Americas,Caribbean,3679000,422000,11.5,2,N/A,N/A,,,,
PNT,Puntland,Africa,Eastern,Africa,1995000,246000,12.3,2,N/A,N/A,,,,
QAT,Qatar,Asia,Western,Asia,2338000,390000,16.7,3,N/A,N/A,,,,
REU,Réunion,Africa,Eastern,Africa,873000,171000,19.6,3,N/A,N/A,,,,
ROU,Romania,Europe,Eastern,Europe,19238000,506000,2.6,2,210000,296000,,,,
RUS,Russian,Federation,Europe,Eastern,Europe,143375000,17620000,12.3,2,6600000,11020000,,,
RWA,Rwanda,Africa,Eastern,Africa,12160000,66000,0.5,2,N/A,N/A,,,,
KNA,Saint,Kitts,and,Nevis,Americas,Caribbean,57000,2000,3.4,3,N/A,N/A,,
LCA,Saint,Lucia,Americas,Caribbean,188000,6000,3.4,3,N/A,N/A,,,,
MAF,Saint,Martin,(France),Americas,Caribbean,32000,3000,8.5,3,N/A,N/A,,,
VCT,Saint,Vincent,and,the,Grenadines,Americas,Caribbean,110000,4000,3.4,3,2865,1135,
WSM,Samoa,Oceania,Polynesia,196000,20000,10.1,2,4000,16000,,,,,
SMR,San,Marino,Europe,Southern,Europe,32000,5000,14.4,3,N/A,N/A,,,
STP,São,Tomé,and,Principe,Africa,Middle,Africa,198000,7000,3.4,3,N/A,N/A,
SAU,Saudi,Arabia,Asia,Western,Asia,32743000,5468000,16.7,3,N/A,N/A,,,
SCO,Scotland,Europe,Northern,Europe,5436000,305000,5.6,1,187000,118000,,,,
SEN,Senegal,Africa,Western,Africa,16054000,323000,2,2,7053,315947,,,,
SRB,Serbia,Europe,Southern,Europe,6946000,2719000,39.1,2,1186086,1532914,,,,
SYC,Seychelles,Africa,Eastern,Africa,98000,4000,4.1,2,N/A,N/A,,,,
SLE,Sierra,Leone,Africa,Western,Africa,6733000,35000,0.5,2,N/A,N/A,,,
SGP,Singapore,Asia,South-eastern,Asia,5785000,20000,0.3,3,795,19205,,,,
SXM,Sint,Maarten,(Netherlands),Americas,Caribbean,40000,2000,4.2,3,N/A,N/A,,,
SVK,Slovakia,Europe,Eastern,Europe,5432000,355000,6.5,2,280000,75000,,,,
SVN,Slovenia,Europe,Southern,Europe,2071000,324000,15.6,1,127094,196906,,,,
SLB,Solomon,Islands,Oceania,Melanesia,606000,1000,0.2,2,N/A,N/A,,,,
SOM,Somalia,(South,Central),Africa,Eastern,Africa,9225000,1145000,12.4,2,N/A,N/A,,
SLD,Somaliland,Africa,Eastern,Africa,3823000,456000,11.9,2,N/A,N/A,,,,
ZAF,South,Africa,Africa,Southern,Africa,55436000,5351000,9.7,2,3000000,2351000,,,
SSD,South,Sudan,Africa,Eastern,Africa,13096000,1255000,9.6,2,N/A,N/A,,,
ESP,Spain,Europe,Southern,Europe,46070000,3464000,7.5,1,2683542,780458,,,,
LKA,Sri,Lanka,Asia,Southern,Asia,20905000,494000,2.4,2,35000,459000,,,
SDN,Sudan,Africa,Northern,Africa,42166000,2768000,6.6,2,6724,2761276,,,,
SUR,Suriname,Americas,South,America,552000,88000,15.9,2,30000,58000,,,,
SWZ,Swaziland,Africa,Southern,Africa,1320000,64000,4.8,3,10000,54000,,,,
SWE,Sweden,Europe,Northern,Europe,9921000,2296000,23.1,1,1955478,340522,,,,
CHE,Switzerland,Europe,Western,Europe,8454000,2332000,27.6,2,791719,1540281,,,,
SYR,Syrian,Arab,Republic,Asia,Western,Asia,18907000,1547000,8.2,2,N/A,N/A,,
TWN,Taiwan,(Rep.,of,China),Asia,Eastern,Asia,23405000,10000,0,2,5000,5000,
TJK,Tajikistan,Asia,Central,Asia,8858000,37000,0.4,2,9863,27137,,,,
TZA,"Tanzania,",United,Republic,of,Africa,Eastern,Africa,56878000,427000,0.8,2,115850,311150,
THA,Thailand,Asia,South-eastern,Asia,68298000,10342000,15.1,2,6221180,4120820,,,,
TLS,Timor-Leste,(East,Timor),Asia,South-eastern,Asia,1237000,3000,0.3,2,N/A,N/A,,
TGO,Togo,Africa,Western,Africa,7692000,58000,0.8,2,10000,48000,,,,
TON,Tonga,Oceania,Polynesia,108000,9000,8,2,N/A,N/A,,,,,
TTO,Trinidad,and,Tobago,Americas,Caribbean,1369000,43000,3.2,2,10550,32450,,,
TUN,Tunisia,Africa,Northern,Africa,11495000,123000,1.1,3,3408,119592,,,,
TUR,Turkey,Asia,Western,Asia,80418000,13249000,16.5,2,2500000,10749000,,,,
TKM,Turkmenistan,Asia,Central,Asia,5503000,23000,0.4,3,N/A,N/A,,,,
TCA,Turks,and,Caicos,Islands,Americas,Caribbean,35000,1000,3.3,2,300,700,,
TUV,Tuvalu,Oceania,Polynesia,10000,100,1.2,2,50,50,,,,,
UGA,Uganda,Africa,Eastern,Africa,41653000,331000,0.8,2,21156,309844,,,,
UKR,Ukraine,Europe,Eastern,Europe,44405000,4396000,9.9,2,800000,3596000,,,,
ARE,United,Arab,Emirates,Asia,Western,Asia,9398000,1569000,16.7,3,N/A,N/A,,
USA,United,States,of,America,Americas,Northern,America,326474000,393347000,120.5,1,1073743,392273257,
URY,Uruguay,Americas,South,America,3457000,1198000,34.7,2,605313,592687,,,,
UZB,Uzbekistan,Asia,Central,Asia,30691000,127000,0.4,3,N/A,N/A,,,,
VUT,Vanuatu,Oceania,Melanesia,276000,11000,3.9,2,4700,6300,,,,,
VEN,"Venezuela,",Bolivarian,Republic,of,Americas,South,America,31926000,5895000,18.5,2,N/A,N/A,
VNM,Vietnam,Asia,South-eastern,Asia,95415000,1562000,1.6,2,N/A,N/A,,,,
VGB,Virgin,Islands,(U.K.),Americas,Caribbean,31000,300,0.8,2,48,252,,,
VIR,Virgin,Islands,(U.S.),Americas,Caribbean,107000,18000,16.6,2,N/A,N/A,,,
YEM,Yemen,Asia,Western,Asia,28120000,14859000,52.8,2,N/A,N/A,,,,
ZMB,Zambia,Africa,Eastern,Africa,17238000,158000,0.9,2,86642,71358,,,,
ZWE,Zimbabwe,Africa,Eastern,Africa,16338000,455000,2.8,2,190685,264315,,,,
